rarity,prefix,prefix_variation,suffix,suffix_variation
rare,Absent,,Absence,Absences
rare,Absolving,Absolved,Absolution,Absolving
rare,Absorbing,Absorbed,Absorption,Absorbing
rare,Abstracting,Abstracted,Abstraction,Abstracting
rare,Abundant,Abundance,Abundance,Abounding
rare,Accurate,Accuracy,Accuracy,
rare,Adapting,Adapted,Adaptation,Adapting
rare,Addictive,Addicted,Addicting,Addiction
rare,Adorned,Adorning,Adorning,
rare,Adultered,Adulterers,Adulteration,Adulterers
rare,Agile,,Agility,
rare,Aged,Old,Aging,
rare,Agonizing,Agonized,Agony,Agonizing
rare,Air,Aired,Air,Airs
rare,Alliance,Allied,Alliance,Alliances
rare,Altruistic,,Altruism,
rare,Amphibious,Amphibian,Amphibians,
rare,Ancestral,Ancestor,Ancestry,Ancestors
rare,Anchoring,Anchored,Anchoring,Anchors
rare,Ancient,,Ancients,
rare,Atiquated,,Antiquity,
rare,Annihilation,Annihilated,Annihilation,Annihilations
rare,Annoying,Annoyed,Annoyance,Annoying
rare,Anxious,Anxiety,Anxiety,Anxiousness
rare,Armageddon,,Armageddon,Armageddons
rare,Artistic,Art,Art,Artistry
rare,Ashen,Ash,Ash,
rare,Aspiring,,Aspiration,Aspiring
rare,Assasination,Assasin,Assassination,Assassins
rare,Atheist,Atheists,Atheism,Atheists
rare,Attack,,Attack,Attacks
rare,Authentic,,Authenticity,
rare,Bandit,Bandits,Banditry,Bandits
rare,Barbarous,Barbarian,Barbarity,Barbarians
rare,Bards,Bard,Bards,Barding
rare,Bare,Baren,Baren,Baring
rare,Bathing,Bath,Bathing,Baths
rare,Bestial,Beast,Beasts,
rare,Beautiful,,Beauty,Beauties
rare,Beckoning,Beckoned,Beckoning,Beautification
rare,Bejeweled,Jewel,Jewelry,Jewels
rare,Bent,,Bending,Bends
rare,Betrayed,Betraying,Betrayal,Betraying
rare,Binding,Bound,Binding,Bindings
rare,Bitter,,Bitterness,
rare,Blazing,Blaze,Blazes,Blezing
rare,Bleak,,Bleakness,
rare,Blending,Blended,Blending,Blends
rare,Blessed,Blessing,Blessings,Blessing
rare,Blind,,Blinding,
rare,Blocking,Blocked,Blocking,Blocks
rare,Blood,Bloody,Blood,Bloods
rare,Blossom,Blossoming,Blossoming,Blossoms
rare,Boiling,Boiled,Boiling,Boils
rare,Bondage,Bonded,Bonds,Bondage
rare,Bone,,Bones,
rare,Boring,Bored,Boredom,
rare,Borrowed,,Borrowing,
rare,Bounty,,Bounties,
rare,Bouyant,,Bouyancy,
rare,Bovine,,Bovines,
rare,Porcine,,Swine,Porcines
rare,Branded,,Branding,Brands
rare,Brass,,Brass,
rare,Brazen,,,
rare,Bold,,Boldness,
rare,Broken,,Breaking,
rare,Breath,Breathing,Breaths,Breathing
rare,Brief,,Brevity,
rare,Bridge,Bridging,Bridges,Bridging
rare,Brine,,Brine,Brines
rare,Brittle,,,
rare,Crumbling,,Crumbling,Crumbles
rare,Broad,,,
rare,Expansive,Expanse,Expanses,Expanding
rare,Brothers,,Brotherhood,Brothers
rare,Burdensome,Burdened,Burdens,Burdening
rare,Burglars,Burglar,Burglary,Burglars
rare,Burrowing,Burrowed,Burrowing,Burrows
rare,Bursted,Bursting,Bursting,Bursts
rare,Butcher,Butchering,Butchering,Butchers
rare,calamitous,Calamity,Calamity,Calamities
rare,Calculated,,Calculation,Calculations
rare,Calm,Calmed,Calm,Calming
rare,Camping,Camp,Camps,Camping
rare,Campfire,,Campfires,
rare,Canine,,Canines,
rare,Cannibalistic,Cannibal,Cannibalism,Cannibals
rare,Careless,,Carelessness,
rare,Carnivorous,Carnivore,Carnivores,
rare,Cartographers,Cartographer,Cartography,Cartographers
rare,Carved,Carving,Carving,Carvings
